,stimuli_id,background,scenario,questions,outcomes,commentary,model_descr_variant
0,tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_implicit_continuous_variable.txt,"In this event, the athletes are competing in matches of tug-of-war. In each round, the team that wins the round depends on how hard the athletes collectively pull, based on their intrinsic strength modulated by other factors including how much effort they put in to that round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Taylor and Indiana lost to Harper and Ollie.
In the second match, Indiana and Casey beat Harper and Ollie.
In the third match, Indiana and Sam beat Harper and Ollie.","['Query 1: Out of 100 random athletes, where do you think Taylor ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Harper ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Taylor put into the first match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Indiana put into the first match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Harper put into the first match?', 'Query 7: In a new match later this same day between Taylor and Indiana (Team 1) and Casey and Harper (Team 2), who would win and by how much?', 'Query 8: In a new match later this same day between Taylor and Harper (Team 1) and Indiana and Ollie (Team 2), who would win and by how much?']","In the first match, Taylor and Indiana lost to Harper and Ollie.
In the second match, Indiana and Casey beat Harper and Ollie.
In the third match, Indiana and Sam beat Harper and Ollie.",,implicit
1,canoe-race_effort_team-strong-indirect-14-dec_win_how_much_implicit_continuous_variable.txt,"In this event, the athletes are competing in a series of canoe races. In each race, the team that wins depends on the average speed with which the athletes are able to row, based on their intrinsic strength modulated by other factors including how much effort they put in to that race.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Indiana and Harper lost to Max and Avery.
In the second race, Harper and Lane beat Max and Avery.
In the third race, Harper and Fey beat Max and Avery.","['Query 1: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Harper ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Max ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Indiana put into the first race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Harper put into the first race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Max put into the first race?', 'Query 7: In a new race later this same day between Indiana and Harper (Team 1) and Lane and Max (Team 2), who would win and by how much?', 'Query 8: In a new race later this same day between Indiana and Max (Team 1) and Harper and Avery (Team 2), who would win and by how much?']","In the first race, Indiana and Harper lost to Max and Avery.
In the second race, Harper and Lane beat Max and Avery.
In the third race, Harper and Fey beat Max and Avery.",,implicit
2,diving_well-synchronized_team-strong-indirect-14-dec_win_how_much_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a synchronized diving tournament. The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team. In each round of a synchronized dive, the team's overall score depends on their dive difficulty and how well matched the team members are in their execution in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Willow and Fey lost to Taylor and Val.
In the second round, Fey and Ness beat Taylor and Val.
In the third round, Fey and Peyton beat Taylor and Val.","['Query 1: Out of 100 random athletes, where do you think Willow ranks in terms of intrinsic skill?', 'Query 2: Out of 100 random athletes, where do you think Fey ranks in terms of intrinsic skill?', 'Query 3: Out of 100 random athletes, where do you think Taylor ranks in terms of intrinsic skill?', 'Query 4: On a percentage scale from 0 to 100%, how well synchronized do you think Willow was with their teammate in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how well synchronized do you think Fey was with their teammate in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how well synchronized do you think Taylor was with their teammate in the first round?', 'Query 7: In a new round later this same day between Willow and Fey (Team 1) and Ness and Taylor (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Willow and Taylor (Team 1) and Fey and Val (Team 2), who would win and by how much?']","In the first round, Willow and Fey lost to Taylor and Val.
In the second round, Fey and Ness beat Taylor and Val.
In the third round, Fey and Peyton beat Taylor and Val.",,implicit
3,biathalon_shooting-accuracy_team-strong-indirect-14-dec_win_how_much_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a biathalon, a winter sport that combines cross-country skiing races and rifle shooting. In each round, the team that wins depends on the average speed with which the athletes are able to ski, based on their intrinsic strength, as well as each team member's shooting accuracy in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Peyton and Fey lost to Indiana and Max.
In the second round, Fey and Casey beat Indiana and Max.
In the third round, Fey and Kay beat Indiana and Max.","['Query 1: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Fey ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how accurate do you think Peyton was at shooting in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how accurate do you think Fey was at shooting in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how accurate do you think Indiana was at shooting in the first round?', 'Query 7: In a new round later this same day between Peyton and Fey (Team 1) and Casey and Indiana (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Peyton and Indiana (Team 1) and Fey and Max (Team 2), who would win and by how much?']","In the first round, Peyton and Fey lost to Indiana and Max.
In the second round, Fey and Casey beat Indiana and Max.
In the third round, Fey and Kay beat Indiana and Max.",,implicit
4,tug-of-war_effort_team-weak-indirect-16-dec_win_how_much_implicit_continuous_variable.txt,"In this event, the athletes are competing in matches of tug-of-war. In each round, the team that wins the round depends on how hard the athletes collectively pull, based on their intrinsic strength modulated by other factors including how much effort they put in to that round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Emery and Peyton lost to Blake and Gale.
In the second match, Peyton and Lane lost to Blake and Gale.
In the third match, Peyton and Avery lost to Blake and Gale.","['Query 1: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Emery put into the first match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Peyton put into the first match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?', 'Query 7: In a new match later this same day between Emery and Peyton (Team 1) and Lane and Blake (Team 2), who would win and by how much?', 'Query 8: In a new match later this same day between Emery and Blake (Team 1) and Peyton and Gale (Team 2), who would win and by how much?']","In the first match, Emery and Peyton lost to Blake and Gale.
In the second match, Peyton and Lane lost to Blake and Gale.
In the third match, Peyton and Avery lost to Blake and Gale.",,implicit
5,canoe-race_effort_team-weak-indirect-16-dec_win_how_much_implicit_continuous_variable.txt,"In this event, the athletes are competing in a series of canoe races. In each race, the team that wins depends on the average speed with which the athletes are able to row, based on their intrinsic strength modulated by other factors including how much effort they put in to that race.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Blake and Quinn lost to Sam and Avery.
In the second race, Quinn and Taylor lost to Sam and Avery.
In the third race, Quinn and Kay lost to Sam and Avery.","['Query 1: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Quinn ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Sam ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Quinn put into the first race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Sam put into the first race?', 'Query 7: In a new race later this same day between Blake and Quinn (Team 1) and Taylor and Sam (Team 2), who would win and by how much?', 'Query 8: In a new race later this same day between Blake and Sam (Team 1) and Quinn and Avery (Team 2), who would win and by how much?']","In the first race, Blake and Quinn lost to Sam and Avery.
In the second race, Quinn and Taylor lost to Sam and Avery.
In the third race, Quinn and Kay lost to Sam and Avery.",,implicit
6,diving_well-synchronized_team-weak-indirect-16-dec_win_how_much_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a synchronized diving tournament. The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team. In each round of a synchronized dive, the team's overall score depends on their dive difficulty and how well matched the team members are in their execution in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Lane and Gale lost to Emery and Sam.
In the second round, Gale and Drew lost to Emery and Sam.
In the third round, Gale and Harper lost to Emery and Sam.","['Query 1: Out of 100 random athletes, where do you think Lane ranks in terms of intrinsic skill?', 'Query 2: Out of 100 random athletes, where do you think Gale ranks in terms of intrinsic skill?', 'Query 3: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic skill?', 'Query 4: On a percentage scale from 0 to 100%, how well synchronized do you think Lane was with their teammate in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how well synchronized do you think Gale was with their teammate in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how well synchronized do you think Emery was with their teammate in the first round?', 'Query 7: In a new round later this same day between Lane and Gale (Team 1) and Drew and Emery (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Lane and Emery (Team 1) and Gale and Sam (Team 2), who would win and by how much?']","In the first round, Lane and Gale lost to Emery and Sam.
In the second round, Gale and Drew lost to Emery and Sam.
In the third round, Gale and Harper lost to Emery and Sam.",,implicit
7,biathalon_shooting-accuracy_team-weak-indirect-16-dec_win_how_much_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a biathalon, a winter sport that combines cross-country skiing races and rifle shooting. In each round, the team that wins depends on the average speed with which the athletes are able to ski, based on their intrinsic strength, as well as each team member's shooting accuracy in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Avery and Blake lost to Robin and Fey.
In the second round, Blake and Kay lost to Robin and Fey.
In the third round, Blake and Casey lost to Robin and Fey.","['Query 1: Out of 100 random athletes, where do you think Avery ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how accurate do you think Avery was at shooting in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how accurate do you think Blake was at shooting in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how accurate do you think Robin was at shooting in the first round?', 'Query 7: In a new round later this same day between Avery and Blake (Team 1) and Kay and Robin (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Avery and Robin (Team 1) and Blake and Fey (Team 2), who would win and by how much?']","In the first round, Avery and Blake lost to Robin and Fey.
In the second round, Blake and Kay lost to Robin and Fey.
In the third round, Blake and Casey lost to Robin and Fey.",,implicit
8,tug-of-war_effort_team-explain-away-11-dec_win_how_much_implicit_continuous_variable.txt,"In this event, the athletes are competing in matches of tug-of-war. In each round, the team that wins the round depends on how hard the athletes collectively pull, based on their intrinsic strength modulated by other factors including how much effort they put in to that round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Val and Peyton beat Drew and Kay.
In the second match, Val and Avery beat Drew and Robin.
In the third match, Val and Max beat Drew and Blake.
In the fourth match, Val and Peyton lost to Drew and Kay.","['Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Drew ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the fourth match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Peyton put into the fourth match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Drew put into the fourth match?', 'Query 7: In a new match later this same day between Val and Peyton (Team 1) and Avery and Blake (Team 2), who would win and by how much?', 'Query 8: In a new match later this same day between Val and Drew (Team 1) and Peyton and Kay (Team 2), who would win and by how much?']","In the first match, Val and Peyton beat Drew and Kay.
In the second match, Val and Avery beat Drew and Robin.
In the third match, Val and Max beat Drew and Blake.
In the fourth match, Val and Peyton lost to Drew and Kay.",,implicit
9,canoe-race_effort_team-explain-away-11-dec_win_how_much_implicit_continuous_variable.txt,"In this event, the athletes are competing in a series of canoe races. In each race, the team that wins depends on the average speed with which the athletes are able to row, based on their intrinsic strength modulated by other factors including how much effort they put in to that race.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Ness and Emery beat Blake and Ollie.
In the second race, Ness and Quinn beat Blake and Jamie.
In the third race, Ness and Willow beat Blake and Max.
In the fourth race, Ness and Emery lost to Blake and Ollie.","['Query 1: Out of 100 random athletes, where do you think Ness ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Ness put into the fourth race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Emery put into the fourth race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the fourth race?', 'Query 7: In a new race later this same day between Ness and Emery (Team 1) and Quinn and Max (Team 2), who would win and by how much?', 'Query 8: In a new race later this same day between Ness and Blake (Team 1) and Emery and Ollie (Team 2), who would win and by how much?']","In the first race, Ness and Emery beat Blake and Ollie.
In the second race, Ness and Quinn beat Blake and Jamie.
In the third race, Ness and Willow beat Blake and Max.
In the fourth race, Ness and Emery lost to Blake and Ollie.",,implicit
