,stimuli_id,background,scenario,questions,outcomes,commentary,model_descr_variant
0,tug-of-war_effort_team-strong-indirect-14-dec_implicit_continuous_variable.txt,"In this event, the athletes are competing in matches of tug-of-war. In each round, the team that wins the round depends on how hard the athletes collectively pull, based on their intrinsic strength modulated by other factors including how much effort they put in to that round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Sam and Emery lost to Taylor and Blake.
In the second match, Emery and Gale beat Taylor and Blake.
In the third match, Emery and Quinn beat Taylor and Blake.","['Query 1: Out of 100 random athletes, where do you think Sam ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Taylor ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Sam put into the first match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Emery put into the first match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Taylor put into the first match?', 'Query 7: In a new match later today during this same tournament, how likely is it that Sam and Emery will beat Gale and Taylor?', 'Query 8: In a new match later today during this same tournament, how likely is it that Sam and Taylor will beat Emery and Blake?']","In the first match, Sam and Emery lost to Taylor and Blake.
In the second match, Emery and Gale beat Taylor and Blake.
In the third match, Emery and Quinn beat Taylor and Blake.",,implicit
1,canoe-race_effort_team-strong-indirect-14-dec_implicit_continuous_variable.txt,"In this event, the athletes are competing in a series of canoe races. In each race, the team that wins depends on the average speed with which the athletes are able to row, based on their intrinsic strength modulated by other factors including how much effort they put in to that race.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Peyton and Harper lost to Jamie and Max.
In the second race, Harper and Indiana beat Jamie and Max.
In the third race, Harper and Drew beat Jamie and Max.","['Query 1: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Harper ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Jamie ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Peyton put into the first race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Harper put into the first race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Jamie put into the first race?', 'Query 7: In a new race later today during this same tournament, how likely is it that Peyton and Harper will beat Indiana and Jamie?', 'Query 8: In a new race later today during this same tournament, how likely is it that Peyton and Jamie will beat Harper and Max?']","In the first race, Peyton and Harper lost to Jamie and Max.
In the second race, Harper and Indiana beat Jamie and Max.
In the third race, Harper and Drew beat Jamie and Max.",,implicit
2,diving_well-synchronized_team-strong-indirect-14-dec_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a synchronized diving tournament. The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team. In each round of a synchronized dive, the team's overall score depends on their dive difficulty and how well matched the team members are in their execution in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Indiana and Taylor lost to Ness and Casey.
In the second round, Taylor and Willow beat Ness and Casey.
In the third round, Taylor and Val beat Ness and Casey.","['Query 1: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic skill?', 'Query 2: Out of 100 random athletes, where do you think Taylor ranks in terms of intrinsic skill?', 'Query 3: Out of 100 random athletes, where do you think Ness ranks in terms of intrinsic skill?', 'Query 4: On a percentage scale from 0 to 100%, how well synchronized do you think Indiana was with their teammate in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how well synchronized do you think Taylor was with their teammate in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how well synchronized do you think Ness was with their teammate in the first round?', 'Query 7: In a new round later today during this same tournament, how likely is it that Indiana and Taylor will beat Willow and Ness?', 'Query 8: In a new round later today during this same tournament, how likely is it that Indiana and Ness will beat Taylor and Casey?']","In the first round, Indiana and Taylor lost to Ness and Casey.
In the second round, Taylor and Willow beat Ness and Casey.
In the third round, Taylor and Val beat Ness and Casey.",,implicit
3,biathalon_shooting-accuracy_team-strong-indirect-14-dec_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a biathalon, a winter sport that combines cross-country skiing races and rifle shooting. In each round, the team that wins depends on the average speed with which the athletes are able to ski, based on their intrinsic strength, as well as each team member's shooting accuracy in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Lane and Emery lost to Drew and Ollie.
In the second round, Emery and Max beat Drew and Ollie.
In the third round, Emery and Val beat Drew and Ollie.","['Query 1: Out of 100 random athletes, where do you think Lane ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Drew ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how accurate do you think Lane was at shooting in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how accurate do you think Emery was at shooting in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how accurate do you think Drew was at shooting in the first round?', 'Query 7: In a new round later today during this same tournament, how likely is it that Lane and Emery will beat Max and Drew?', 'Query 8: In a new round later today during this same tournament, how likely is it that Lane and Drew will beat Emery and Ollie?']","In the first round, Lane and Emery lost to Drew and Ollie.
In the second round, Emery and Max beat Drew and Ollie.
In the third round, Emery and Val beat Drew and Ollie.",,implicit
4,tug-of-war_effort_team-weak-indirect-16-dec_implicit_continuous_variable.txt,"In this event, the athletes are competing in matches of tug-of-war. In each round, the team that wins the round depends on how hard the athletes collectively pull, based on their intrinsic strength modulated by other factors including how much effort they put in to that round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Max and Indiana lost to Peyton and Ness.
In the second match, Indiana and Val lost to Peyton and Ness.
In the third match, Indiana and Taylor lost to Peyton and Ness.","['Query 1: Out of 100 random athletes, where do you think Max ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Max put into the first match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Indiana put into the first match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Peyton put into the first match?', 'Query 7: In a new match later today during this same tournament, how likely is it that Max and Indiana will beat Val and Peyton?', 'Query 8: In a new match later today during this same tournament, how likely is it that Max and Peyton will beat Indiana and Ness?']","In the first match, Max and Indiana lost to Peyton and Ness.
In the second match, Indiana and Val lost to Peyton and Ness.
In the third match, Indiana and Taylor lost to Peyton and Ness.",,implicit
5,canoe-race_effort_team-weak-indirect-16-dec_implicit_continuous_variable.txt,"In this event, the athletes are competing in a series of canoe races. In each race, the team that wins depends on the average speed with which the athletes are able to row, based on their intrinsic strength modulated by other factors including how much effort they put in to that race.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Willow and Robin lost to Harper and Ness.
In the second race, Robin and Sam lost to Harper and Ness.
In the third race, Robin and Peyton lost to Harper and Ness.","['Query 1: Out of 100 random athletes, where do you think Willow ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Harper ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Willow put into the first race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Harper put into the first race?', 'Query 7: In a new race later today during this same tournament, how likely is it that Willow and Robin will beat Sam and Harper?', 'Query 8: In a new race later today during this same tournament, how likely is it that Willow and Harper will beat Robin and Ness?']","In the first race, Willow and Robin lost to Harper and Ness.
In the second race, Robin and Sam lost to Harper and Ness.
In the third race, Robin and Peyton lost to Harper and Ness.",,implicit
6,diving_well-synchronized_team-weak-indirect-16-dec_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a synchronized diving tournament. The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team. In each round of a synchronized dive, the team's overall score depends on their dive difficulty and how well matched the team members are in their execution in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Willow and Emery lost to Robin and Indiana.
In the second round, Emery and Casey lost to Robin and Indiana.
In the third round, Emery and Jamie lost to Robin and Indiana.","['Query 1: Out of 100 random athletes, where do you think Willow ranks in terms of intrinsic skill?', 'Query 2: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic skill?', 'Query 3: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic skill?', 'Query 4: On a percentage scale from 0 to 100%, how well synchronized do you think Willow was with their teammate in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how well synchronized do you think Emery was with their teammate in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how well synchronized do you think Robin was with their teammate in the first round?', 'Query 7: In a new round later today during this same tournament, how likely is it that Willow and Emery will beat Casey and Robin?', 'Query 8: In a new round later today during this same tournament, how likely is it that Willow and Robin will beat Emery and Indiana?']","In the first round, Willow and Emery lost to Robin and Indiana.
In the second round, Emery and Casey lost to Robin and Indiana.
In the third round, Emery and Jamie lost to Robin and Indiana.",,implicit
7,biathalon_shooting-accuracy_team-weak-indirect-16-dec_implicit_continuous_variable.txt,"In this event, teams of players are competing in rounds of a biathalon, a winter sport that combines cross-country skiing races and rifle shooting. In each round, the team that wins depends on the average speed with which the athletes are able to ski, based on their intrinsic strength, as well as each team member's shooting accuracy in that particular round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Peyton and Quinn lost to Harper and Lane.
In the second round, Quinn and Val lost to Harper and Lane.
In the third round, Quinn and Emery lost to Harper and Lane.","['Query 1: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Quinn ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Harper ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how accurate do you think Peyton was at shooting in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how accurate do you think Quinn was at shooting in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how accurate do you think Harper was at shooting in the first round?', 'Query 7: In a new round later today during this same tournament, how likely is it that Peyton and Quinn will beat Val and Harper?', 'Query 8: In a new round later today during this same tournament, how likely is it that Peyton and Harper will beat Quinn and Lane?']","In the first round, Peyton and Quinn lost to Harper and Lane.
In the second round, Quinn and Val lost to Harper and Lane.
In the third round, Quinn and Emery lost to Harper and Lane.",,implicit
8,tug-of-war_effort_team-explain-away-11-dec_implicit_continuous_variable.txt,"In this event, the athletes are competing in matches of tug-of-war. In each round, the team that wins the round depends on how hard the athletes collectively pull, based on their intrinsic strength modulated by other factors including how much effort they put in to that round.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Emery and Robin beat Willow and Lane.
In the second match, Emery and Ollie beat Willow and Quinn.
In the third match, Emery and Drew beat Willow and Blake.
In the fourth match, Emery and Robin lost to Willow and Lane.","['Query 1: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Willow ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Emery put into the fourth match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the fourth match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Willow put into the fourth match?', 'Query 7: In a new match later today during this same tournament, how likely is it that Emery and Robin will beat Ollie and Blake?', 'Query 8: In a new match later today during this same tournament, how likely is it that Emery and Willow will beat Robin and Lane?']","In the first match, Emery and Robin beat Willow and Lane.
In the second match, Emery and Ollie beat Willow and Quinn.
In the third match, Emery and Drew beat Willow and Blake.
In the fourth match, Emery and Robin lost to Willow and Lane.",,implicit
9,canoe-race_effort_team-explain-away-11-dec_implicit_continuous_variable.txt,"In this event, the athletes are competing in a series of canoe races. In each race, the team that wins depends on the average speed with which the athletes are able to row, based on their intrinsic strength modulated by other factors including how much effort they put in to that race.
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Kay and Indiana beat Casey and Max.
In the second race, Kay and Sam beat Casey and Ness.
In the third race, Kay and Willow beat Casey and Harper.
In the fourth race, Kay and Indiana lost to Casey and Max.","['Query 1: Out of 100 random athletes, where do you think Kay ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Casey ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Kay put into the fourth race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Indiana put into the fourth race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Casey put into the fourth race?', 'Query 7: In a new race later today during this same tournament, how likely is it that Kay and Indiana will beat Sam and Harper?', 'Query 8: In a new race later today during this same tournament, how likely is it that Kay and Casey will beat Indiana and Max?']","In the first race, Kay and Indiana beat Casey and Max.
In the second race, Kay and Sam beat Casey and Ness.
In the third race, Kay and Willow beat Casey and Harper.
In the fourth race, Kay and Indiana lost to Casey and Max.",,implicit
