,prolific_id,tag,condition_num,background,commentator,outcome,model_descr_variant,sport,question1,question2,question3,question4,question5,question6,question7,question8,slider_val1,slider_val2,slider_val3,slider_val4,slider_val5,slider_val6,slider_val7,slider_val8
7,663531819b6036524054c4f0,tug-of-war_effort_individ-explain-away-bonus3,0.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Peyton beat Blake.<br>
In the second match, Peyton lost to Blake.<br>
In the third match, Blake lost to Ness.<br>
In the fourth match, Blake lost to Indiana.<br>",explicit,tug-of-war,"[""How likely is it that Peyton tried hard in the second match?"",""latent-1""]","[""How likely is it that Blake tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the third match?"",""latent-3""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Peyton will beat Blake ?"",""new-1""]","[""In a new match, how likely is it that Peyton will beat Ness?"",""new-2""]",26.0,76.0,78.0,62.0,39.0,50.0,50.0,64.0
10,663531819b6036524054c4f0,tug-of-war_effort_team-confounded-opponent-12,0.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Taylor and Peyton lost to Fey and Jamie.<br>
In the second match, Taylor and Quinn lost to Fey and Robin.<br>
In the third match, Taylor and Willow lost to Fey and Lane.<br>",explicit,tug-of-war,"[""How likely is it that Taylor tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Taylor and Peyton will beat Quinn and Lane?"",""new-1""]","[""In a new match, how likely is it that Taylor and Fey will beat Peyton and Jamie?"",""new-2""]",27.0,27.0,73.0,23.0,52.0,54.0,28.0,28.0
13,663531819b6036524054c4f0,tug-of-war_effort_individ-explain-away-91012,0.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Drew lost to Ollie .<br>
In the second match, Drew beat Ollie .<br>
In the third match, Drew beat Ollie.<br>
In the fourth match, Peyton beat Robin.<br>",explicit,tug-of-war,"[""How likely is it that Drew tried hard in the first match?"",""latent-1""]","[""How likely is it that Ollie tried hard in the second match?"",""latent-2""]","[""How likely is it that Robin tried hard in the fourth match?"",""latent-3""]","[""How likely is it that Drew is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Drew will beat Ollie ?"",""new-1""]","[""In a new match, how likely is it that Drew will beat Robin?"",""new-2""]",62.0,36.0,38.0,73.0,35.0,54.0,75.0,39.0
17,663531819b6036524054c4f0,canoe-race_effort_team-explain-away-11,0.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Willow and Casey beat Ness and Max.<br>
In the second match, Willow and Ollie beat Ness and Robin.<br>
In the third match, Willow and Fey beat Ness and Quinn.<br>
In the fourth match, Willow and Casey lost to Ness and Max.<br>",explicit,canoe-race,"[""How likely is it that Willow tried hard in the fourth match?"",""latent-1""]","[""How likely is it that Casey tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the second match?"",""latent-3""]","[""How likely is it that Willow is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Casey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Willow and Casey will beat Ollie and Quinn?"",""new-1""]","[""In a new match, how likely is it that Willow and Ness will beat Casey and Max?"",""new-2""]",33.0,76.0,28.0,41.0,54.0,24.0,64.0,52.0
20,663531819b6036524054c4f0,canoe-race_effort_individ-explain-away-bonus2,0.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Kay lost to Sam.<br>
In the second match, Kay beat Sam.<br>
In the third match, Sam beat Willow.<br>
In the fourth match, Sam beat Blake.<br>
In the fifth match, Kay lost to Peyton.<br>
In the sixth match, Kay lost to Jamie.<br>",explicit,canoe-race,"[""How likely is it that Kay tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Willow tried hard in the third match?"",""latent-3""]","[""How likely is it that Kay is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Willow is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Kay will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Kay will beat Willow?"",""new-2""]",70.0,72.0,67.0,32.0,61.0,55.0,32.0,34.0
23,663531819b6036524054c4f0,canoe-race_effort_team-strong-indirect-14,0.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
The stronger the athlete, the faster they can individually row.
Athletes also vary in how often they try their hardest in any given race.
If an athlete doesn’t try hard in any given match, that athlete only rows about half as quickly as they could.
Each canoe team moves as fast as the average effective speed of all of its athletes in that race.
The canoe team that is the fastest will win a given race.",,"In the first match, Lane and Sam lost to Jamie and Ness.<br>
In the second match, Sam and Drew beat Jamie and Ness.<br>
In the third match, Sam and Blake beat Jamie and Ness.<br>",explicit,canoe-race,"[""How likely is it that Lane tried hard in the first match?"",""latent-1""]","[""How likely is it that Sam tried hard in the second match?"",""latent-2""]","[""How likely is it that Jamie tried hard in the second match?"",""latent-3""]","[""How likely is it that Lane is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Jamie is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Lane and Sam will beat Drew and Jamie?"",""new-1""]","[""In a new match, how likely is it that Lane and Jamie will beat Sam and Ness?"",""new-2""]",26.0,26.0,24.0,28.0,62.0,27.0,35.0,37.0
33,611830fe665c7b68723910b3,tug-of-war_effort_team-weak-indirect-15,4.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",explicit,tug-of-war,"[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",50.0,84.0,38.0,63.0,76.0,40.0,87.0,1.0
36,611830fe665c7b68723910b3,tug-of-war_effort_team-diverse-17,4.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",explicit,tug-of-war,"[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",75.0,74.0,25.0,89.0,88.0,35.0,25.0,37.0
39,611830fe665c7b68723910b3,tug-of-war_effort_individ-explain-away-bonus,4.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Gale beat Sam.<br>
In the second match, Gale lost to Sam.<br>
In the third match, Sam lost to Blake.<br>
In the fourth match, Sam lost to Quinn.<br>
In the fifth match, Gale beat Taylor.<br>
In the sixth match, Gale beat Willow.<br>",explicit,tug-of-war,"[""How likely is it that Gale is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Gale tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Gale will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Gale will beat Blake?"",""new-2""]",76.0,76.0,88.0,38.0,38.0,70.0,51.0,35.0
43,611830fe665c7b68723910b3,canoe-race_effort_individ-strong-indirect-4,4.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Val lost to Ness.<br>
In the second match, Ness lost to Fey.<br>
In the third match, Ness lost to Max.<br>",implicit,canoe-race,"[""How likely is it that Val is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Val tried hard in the first match?"",""latent-1""]","[""How likely is it that Ness tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Val will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Val will beat Max?"",""new-2""]",36.0,18.0,75.0,27.0,26.0,76.0,12.0,12.0
